model,layer,train_language,test_language,classifier,uar_orig,acc_orig,uar_gen,acc_gen,uar_diff,acc_diff
wav2vec2,11,Spanish,Spanish,logistic_regression,0.7749999999999999,0.775,0.825,0.825,0.05,0.0499999999999999
wav2vec2,11,Spanish,German,linear_svm,0.55,0.55,0.575,0.575,0.0249999999999999,0.0249999999999999
wav2vec2,11,Spanish,German,logistic_regression,0.575,0.575,0.575,0.575,0.0,0.0
wav2vec2,11,German,German,linear_svm,0.575,0.575,0.6499999999999999,0.65,0.0749999999999999,0.075
wav2vec2,11,German,German,logistic_regression,0.6000000000000001,0.6,0.6499999999999999,0.65,0.0499999999999998,0.05
wav2vec2,11,German,Spanish,linear_svm,0.5,0.5,0.6,0.6,0.0999999999999999,0.0999999999999999
wav2vec2,11,German,Spanish,logistic_regression,0.65,0.65,0.625,0.625,-0.025,-0.025
wav2vec2,11,Spanish+German,Spanish+German,linear_svm,0.75,0.75,0.7875000000000001,0.7875,0.0375,0.0374999999999999
wav2vec2,11,Spanish+German,Spanish+German,logistic_regression,0.75,0.75,0.7875,0.7875,0.0374999999999999,0.0374999999999999
wav2vec2,4,Spanish,Spanish,linear_svm,0.825,0.825,0.8500000000000001,0.85,0.0250000000000001,0.025
wav2vec2,4,Spanish,Spanish,logistic_regression,0.825,0.825,0.825,0.825,0.0,0.0
wav2vec2,4,Spanish,German,linear_svm,0.45,0.45,0.5,0.5,0.0499999999999999,0.0499999999999999
wav2vec2,4,Spanish,German,logistic_regression,0.5,0.5,0.45,0.45,-0.0499999999999999,-0.0499999999999999
wav2vec2,4,German,German,linear_svm,0.675,0.675,0.675,0.675,0.0,0.0
wav2vec2,4,German,German,logistic_regression,0.65,0.65,0.675,0.675,0.025,0.025
wav2vec2,4,German,Spanish,linear_svm,0.575,0.575,0.55,0.55,-0.0249999999999999,-0.0249999999999999
wav2vec2,4,German,Spanish,logistic_regression,0.525,0.525,0.55,0.55,0.025,0.025
wav2vec2,4,Spanish+German,Spanish+German,linear_svm,0.7,0.7,0.7250000000000001,0.725,0.0250000000000001,0.025
wav2vec2,4,Spanish+German,Spanish+German,logistic_regression,0.7,0.7,0.7125,0.7125,0.0125,0.0125
wav2vec2,8,Spanish,Spanish,linear_svm,0.825,0.825,0.875,0.875,0.05,0.05
wav2vec2,8,Spanish,Spanish,logistic_regression,0.775,0.775,0.875,0.875,0.0999999999999999,0.0999999999999999
wav2vec2,8,Spanish,German,linear_svm,0.625,0.625,0.55,0.55,-0.0749999999999999,-0.0749999999999999
wav2vec2,8,Spanish,German,logistic_regression,0.6,0.6,0.575,0.575,-0.025,-0.025
wav2vec2,8,German,German,linear_svm,0.6000000000000001,0.6,0.575,0.575,-0.0250000000000001,-0.025
wav2vec2,8,German,German,logistic_regression,0.65,0.65,0.6000000000000001,0.6,-0.0499999999999999,-0.05
wav2vec2,8,German,Spanish,linear_svm,0.6499999999999999,0.65,0.6499999999999999,0.65,0.0,0.0
wav2vec2,8,German,Spanish,logistic_regression,0.725,0.725,0.6499999999999999,0.65,-0.075,-0.0749999999999999
wav2vec2,8,Spanish+German,Spanish+German,linear_svm,0.7625,0.7625,0.725,0.725,-0.0374999999999999,-0.0374999999999999
wav2vec2,8,Spanish+German,Spanish+German,logistic_regression,0.725,0.725,0.7375,0.7375,0.0125,0.0125
wavlm,0,Spanish,Spanish,linear_svm,0.85,0.85,0.875,0.875,0.025,0.025
wavlm,0,Spanish,Spanish,logistic_regression,0.85,0.85,0.85,0.85,0.0,0.0
wavlm,0,Spanish,German,linear_svm,0.5,0.5,0.5,0.5,0.0,0.0
wavlm,0,Spanish,German,logistic_regression,0.5,0.5,0.525,0.525,0.025,0.025
wavlm,0,German,German,linear_svm,0.675,0.675,0.675,0.675,0.0,0.0
wavlm,0,German,German,logistic_regression,0.6,0.6,0.65,0.65,0.05,0.05
wavlm,0,German,Spanish,linear_svm,0.5499999999999999,0.55,0.5,0.5,-0.0499999999999999,-0.05
wavlm,0,German,Spanish,logistic_regression,0.575,0.575,0.45,0.45,-0.1249999999999999,-0.1249999999999999
wavlm,0,Spanish+German,Spanish+German,linear_svm,0.6125,0.6125,0.625,0.625,0.0124999999999999,0.0124999999999999
wavlm,0,Spanish+German,Spanish+German,logistic_regression,0.6875,0.6875,0.6499999999999999,0.65,-0.0375,-0.0374999999999999
wavlm,11,Spanish,Spanish,linear_svm,0.875,0.875,0.875,0.875,0.0,0.0
wavlm,11,Spanish,Spanish,logistic_regression,0.8500000000000001,0.85,0.85,0.85,-1.1102230246251563e-16,0.0
wavlm,11,Spanish,German,linear_svm,0.525,0.525,0.575,0.575,0.0499999999999999,0.0499999999999999
wavlm,11,Spanish,German,logistic_regression,0.5,0.5,0.55,0.55,0.05,0.05
wavlm,11,German,German,linear_svm,0.675,0.675,0.675,0.675,0.0,0.0
wavlm,11,German,German,logistic_regression,0.625,0.625,0.7,0.7,0.0749999999999999,0.0749999999999999
wavlm,11,German,Spanish,linear_svm,0.55,0.55,0.5499999999999999,0.55,-1.1102230246251563e-16,0.0
wavlm,11,German,Spanish,logistic_regression,0.575,0.575,0.5499999999999999,0.55,-0.025,-0.0249999999999999
wavlm,11,Spanish+German,Spanish+German,linear_svm,0.7125,0.7125,0.75,0.75,0.0374999999999999,0.0374999999999999
wavlm,11,Spanish+German,Spanish+German,logistic_regression,0.7375,0.7375,0.75,0.75,0.0124999999999999,0.0124999999999999
wavlm,4,Spanish,Spanish,linear_svm,0.875,0.875,0.875,0.875,0.0,0.0
wavlm,4,Spanish,Spanish,logistic_regression,0.925,0.925,0.925,0.925,0.0,0.0
wavlm,4,Spanish,German,linear_svm,0.5,0.5,0.55,0.55,0.05,0.05
wavlm,4,Spanish,German,logistic_regression,0.475,0.475,0.525,0.525,0.05,0.05
wavlm,4,German,German,linear_svm,0.6499999999999999,0.65,0.6499999999999999,0.65,0.0,0.0
wavlm,4,German,German,logistic_regression,0.675,0.675,0.6,0.6,-0.075,-0.075
wavlm,4,German,Spanish,linear_svm,0.5,0.5,0.625,0.625,0.125,0.125
wavlm,4,German,Spanish,logistic_regression,0.45,0.45,0.6,0.6,0.1499999999999999,0.1499999999999999
wavlm,4,Spanish+German,Spanish+German,linear_svm,0.675,0.675,0.6875,0.6875,0.0124999999999999,0.0124999999999999
wavlm,4,Spanish+German,Spanish+German,logistic_regression,0.6625,0.6625,0.6875,0.6875,0.025,0.025
wavlm,8,Spanish,Spanish,linear_svm,0.7749999999999999,0.775,0.825,0.825,0.05,0.0499999999999999
wavlm,8,Spanish,Spanish,logistic_regression,0.85,0.85,0.8,0.8,-0.0499999999999999,-0.0499999999999999
wavlm,8,Spanish,German,linear_svm,0.5249999999999999,0.525,0.5,0.5,-0.0249999999999999,-0.025
wavlm,8,Spanish,German,logistic_regression,0.55,0.55,0.5,0.5,-0.05,-0.05
wavlm,8,German,German,linear_svm,0.675,0.675,0.675,0.675,0.0,0.0
wavlm,8,German,German,logistic_regression,0.65,0.65,0.7,0.7,0.0499999999999999,0.0499999999999999
wavlm,8,German,Spanish,linear_svm,0.7250000000000001,0.725,0.6,0.6,-0.1250000000000001,-0.125
wavlm,8,German,Spanish,logistic_regression,0.725,0.725,0.575,0.575,-0.15,-0.15
wavlm,8,Spanish+German,Spanish+German,linear_svm,0.7625,0.7625,0.8,0.8,0.0375,0.0375
wavlm,8,Spanish+German,Spanish+German,logistic_regression,0.7625,0.7625,0.7875,0.7875,0.025,0.025
