filename_pair,original_filename,generated_filename,original_duration,generated_duration,duration_difference,sample_rate,max_amplitude_original,max_amplitude_generated,rms_original,rms_generated,status
DE_HC_001.wav <-> DE_HC_001_generated.wav,DE_HC_001.wav,DE_HC_001_generated.wav,40.76408163265306,40.762630385487526,-0.0014512471655336867,22050,1.0,0.88726806640625,0.13903427124023438,0.11659759283065796,success
DE_HC_002.wav <-> DE_HC_002_generated.wav,DE_HC_002.wav,DE_HC_002_generated.wav,46.50231292517007,46.49795918367347,-0.004353741496593955,22050,0.999969482421875,0.958343505859375,0.14095599949359894,0.1266285926103592,success
DE_HC_003.wav <-> DE_HC_003_generated.wav,DE_HC_003.wav,DE_HC_003_generated.wav,37.35945578231293,37.34929705215419,-0.010158730158735807,22050,1.0,0.996734619140625,0.131783589720726,0.12124285846948624,success
DE_PD_001.wav <-> DE_PD_001_generated.wav,DE_PD_001.wav,DE_PD_001_generated.wav,47.46013605442177,47.44997732426304,-0.010158730158728702,22050,1.0,0.854095458984375,0.10662990808486938,0.09603685140609741,success
DE_PD_002.wav <-> DE_PD_002_generated.wav,DE_PD_002.wav,DE_PD_002_generated.wav,38.54371882086168,38.53351473922903,-0.010204081632650741,22050,0.999969482421875,0.900177001953125,0.14567315578460693,0.12855762243270874,success
DE_PD_003.wav <-> DE_PD_003_generated.wav,DE_PD_003.wav,DE_PD_003_generated.wav,40.476780045351475,40.47238095238095,-0.0043990929705231,22050,1.0,0.97357177734375,0.16004864871501923,0.1457013338804245,success
SP_HC_001.wav <-> SP_HC_001_generated.wav,SP_HC_001.wav,SP_HC_001_generated.wav,17.4702947845805,17.46140589569161,-0.008888888888890278,22050,0.999969482421875,0.83038330078125,0.11755180358886719,0.11294519156217575,success
SP_HC_002.wav <-> SP_HC_002_generated.wav,SP_HC_002.wav,SP_HC_002_generated.wav,16.99206349206349,16.985396825396826,-0.006666666666664156,22050,0.999969482421875,0.907623291015625,0.07980260998010635,0.07551164925098419,success
SP_HC_003.wav <-> SP_HC_003_generated.wav,SP_HC_003.wav,SP_HC_003_generated.wav,17.076190476190476,17.066666666666666,-0.00952380952380949,22050,0.999969482421875,0.9114990234375,0.1102268323302269,0.10526884347200394,success
SP_PD_001.wav <-> SP_PD_001_generated.wav,SP_PD_001.wav,SP_PD_001_generated.wav,15.129206349206349,15.12780045351474,-0.0014058956916098708,22050,0.999969482421875,0.95330810546875,0.11619549989700317,0.10382828861474991,success
SP_PD_002.wav <-> SP_PD_002_generated.wav,SP_PD_002.wav,SP_PD_002_generated.wav,26.137732426303856,26.1340589569161,-0.0036734693877562563,22050,1.0,0.90618896484375,0.0939943715929985,0.089539535343647,success
SP_PD_003.wav <-> SP_PD_003_generated.wav,SP_PD_003.wav,SP_PD_003_generated.wav,25.133832199546486,25.123990929705215,-0.009841269841270872,22050,0.999969482421875,0.8861083984375,0.0766829401254654,0.07438205182552338,success
