Measure,Result
Number of compared recordings,276.0
Mean absolute duration difference (s),0.003998816918071552
Median absolute duration difference (s),0.0029478458049894
Maximum absolute duration difference (s),0.0115646258503403
Mean original duration (s),36.02992671464721
Mean reconstructed duration (s),36.02592789772914
