Layer,Original mean UAR,Reconstructed mean UAR,Difference,Mean absolute difference,Configurations
0,0.6931600790513833,0.6926082564778218,-0.0005518225735617103,0.022121431708388217,30
4,0.7038482652613087,0.7113661616161616,0.007517896354852877,0.025002744839701344,30
8,0.7021174791392183,0.70922178304787,0.0071043039086517434,0.026790733421168177,30
11,0.7072988581466843,0.7054021739130435,-0.0018966842336407834,0.03171047430830035,30
