Evaluation scenario,Original mean UAR,Reconstructed mean UAR,Difference,Mean absolute difference,Configurations
German → German,0.7443181818181818,0.7478693181818182,0.003551136363636342,0.018229166666666616,24
German → Spanish,0.6905495169082125,0.6991334541062802,0.008583937198067614,0.0327204106280193,48
Spanish → German,0.6051136363636364,0.5991950757575758,-0.0059185606060605835,0.026278409090909064,24
Spanish → Spanish,0.7775,0.7779166666666667,0.0004166666666666709,0.02208333333333333,24
