Classifier,Original mean UAR,Reconstructed mean UAR,Difference,Mean absolute difference,Configurations
linear_svm,0.6887639437856828,0.6922316095740009,0.0034676657883179547,0.029310551163812013,60
logistic_regression,0.7144483970136144,0.7170675779534474,0.002619180939833108,0.023502140974967035,60
