Original duration,Reconstructed duration,Duration difference
40.76408163265306,40.762630385487526,0.0014512471655336
46.50231292517007,46.49795918367347,0.0043537414965939
37.35945578231293,37.34929705215419,0.0101587301587358
60.12952380952381,60.12807256235828,0.0014512471655336
33.78072562358277,33.77342403628118,0.0073015873015904
56.66394557823129,56.65668934240363,0.0072562358276613
51.12603174603175,51.11873015873016,0.0073015873015904
61.95083900226757,61.95083900226757,0.0
45.33551020408163,45.3253514739229,0.0101587301587287
38.405850340136055,38.40580498866213,4.535147392203953e-05
44.44303854875283,44.44299319727891,4.535147392203953e-05
45.200589569161,45.19764172335601,0.0029478458049894
43.83927437641724,43.83927437641724,0.0
46.25414965986395,46.25414965986395,0.0
44.39659863945578,44.39655328798186,4.535147392203953e-05
44.48947845804989,44.489433106575966,4.535147392203953e-05
42.51863945578231,42.515736961451246,0.0029024943310673
62.64743764172336,62.64743764172336,0.0
53.82390022675737,53.823854875283445,4.535147392203953e-05
44.39079365079365,44.3849433106576,0.0058503401360567
39.01387755102041,39.00952380952381,0.0043537414965939
50.8865306122449,50.8865306122449,0.0
51.33496598639456,51.327709750566896,0.0072562358276613
39.93832199546485,39.93832199546485,0.0
41.01229024943311,41.00643990929705,0.0058503401360567
50.412018140589566,50.41052154195011,0.0014965986394557
54.52045351473923,54.52045351473923,0.0
42.70154195011338,42.70149659863946,4.535147392203953e-05
43.23560090702948,43.23555555555556,4.535147392203953e-05
51.73410430839002,51.7340589569161,4.535147392203953e-05
46.71859410430839,46.71854875283447,4.535147392203953e-05
49.75895691609977,49.74875283446712,0.0102040816326507
34.412018140589566,34.411972789115644,4.535147392203953e-05
44.83922902494331,44.83773242630385,0.0014965986394557
53.68458049886621,53.68453514739229,4.535147392203953e-05
44.69990929705215,44.698412698412696,0.0014965986394557
39.69310657596372,39.68290249433107,0.0102040816326507
42.73201814058957,42.72471655328798,0.0073015873015833
48.04358276643991,48.042086167800456,0.0014965986394557
56.5174149659864,56.51736961451248,4.535147392203953e-05
67.70938775510204,67.70938775510204,0.0
36.45532879818594,36.45532879818594,0.0
43.37487528344671,43.37487528344671,0.0
45.04671201814059,45.04671201814059,0.0
41.95700680272109,41.94684807256236,0.0101587301587287
44.4778231292517,44.4778231292517,0.0
37.046031746031744,37.03582766439909,0.0102040816326507
47.93469387755102,47.92598639455783,0.008707482993195
47.275827664399095,47.275827664399095,0.0
