Comparison,Within-language UAR,Crosslingual UAR,Absolute reduction,Relative reduction (%)
Spanish reference vs. Spanish → German,0.84,0.7272727272727273,0.11272727272727268,13.419913419913415
German reference vs. German → Spanish,0.8181818181818181,0.8079710144927537,0.010210803689064463,1.2479871175523234
