Model,Original mean UAR,Reconstructed mean UAR,Difference,Mean absolute difference,Configurations
Wav2Vec2,0.6897899374176548,0.6961968873517786,0.006406949934123834,0.029567687747035547,40
WavLM,0.709463768115942,0.7016091073781292,-0.007854660737812907,0.02087409420289852,40
XLSR,0.7055648056653492,0.7161427865612648,0.010577980895915667,0.028777256258234497,40
