model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
xlsr,8,Spanish,Spanish,linear_svm,0.79,0.79,0.74,0.84,0.8528000000000001,100,100
xlsr,8,Spanish,Spanish,logistic_regression,0.8300000000000001,0.83,0.78,0.88,0.8796000000000002,100,100
xlsr,8,Spanish,German,linear_svm,0.5965909090909091,0.5965909090909091,0.42045454545454547,0.7727272727272727,0.6525051652892562,100,176
xlsr,8,Spanish,German,logistic_regression,0.6477272727272727,0.6477272727272727,0.5568181818181818,0.7386363636363636,0.7135847107438017,100,176
xlsr,8,German,German,linear_svm,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7948734504132231,176,176
xlsr,8,German,German,logistic_regression,0.7386363636363636,0.7386363636363636,0.7386363636363636,0.7386363636363636,0.8224431818181819,176,176
xlsr,8,German,Spanish,linear_svm,0.56,0.56,0.34,0.78,0.6308,176,100
xlsr,8,German,Spanish,logistic_regression,0.6699999999999999,0.67,0.72,0.62,0.7452,176,100
xlsr,8,Spanish+German,Spanish+German,linear_svm,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.8436777987817685,276,276
xlsr,8,Spanish+German,Spanish+German,logistic_regression,0.7826086956521738,0.782608695652174,0.7681159420289855,0.7971014492753623,0.8511867254778407,276,276
