evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,sensitivity_original,sensitivity_converted,specificity_original,specificity_converted,auc_original,auc_converted
xlsr,11,German->Spanish,logistic_regression,0.525,0.525,0.0,0.525,0.525,0.0,0.65,0.5,0.4,0.55,0.575,0.5925
xlsr,11,Spanish->German,linear_svm,0.55,0.5,-0.050000000000000044,0.55,0.5,-0.050000000000000044,0.45,0.6,0.65,0.4,0.515,0.5349999999999999
xlsr,11,Spanish->German,logistic_regression,0.575,0.475,-0.09999999999999998,0.575,0.475,-0.09999999999999998,0.55,0.65,0.6,0.3,0.5349999999999999,0.5375
xlsr,11,Spanish->Spanish,linear_svm,0.8,0.95,0.1499999999999999,0.8,0.95,0.1499999999999999,0.75,0.95,0.85,0.95,0.8325,0.9775
xlsr,11,Spanish->Spanish,logistic_regression,0.8500000000000001,0.9125000000000001,0.0625,0.85,0.9125,0.0625,0.8,0.9,0.9,0.925,0.8525,0.969375
xlsr,11,German->German,linear_svm,0.675,0.9,0.22499999999999998,0.675,0.9,0.22499999999999998,0.65,0.9,0.7,0.9,0.6675,0.9450000000000001
xlsr,11,German->German,logistic_regression,0.725,0.9,0.17500000000000004,0.725,0.9,0.17500000000000004,0.7,0.9,0.75,0.9,0.7075,0.938125
xlsr,11,Combined->Combined,linear_svm,0.7124999999999999,0.83125,0.11875000000000013,0.7125,0.83125,0.11875000000000002,0.725,0.7875,0.7,0.875,0.7296875,0.9035937500000001
xlsr,11,Combined->Combined,logistic_regression,0.7124999999999999,0.83125,0.11875000000000013,0.7125,0.83125,0.11875000000000002,0.725,0.75,0.7,0.9125,0.740625,0.8895312499999999
wav2vec2,0,German->Spanish,linear_svm,0.45,0.55,0.10000000000000003,0.45,0.55,0.10000000000000003,0.55,0.3,0.35,0.8,0.535,0.6625
wav2vec2,0,German->Spanish,logistic_regression,0.47500000000000003,0.625,0.14999999999999997,0.475,0.625,0.15000000000000002,0.55,0.45,0.4,0.8,0.56,0.6900000000000001
wav2vec2,0,Spanish->German,linear_svm,0.45,0.42500000000000004,-0.024999999999999967,0.45,0.425,-0.025000000000000022,0.4,0.45,0.5,0.4,0.5075000000000001,0.47
wav2vec2,0,Spanish->German,logistic_regression,0.5,0.5249999999999999,0.02499999999999991,0.5,0.525,0.025000000000000022,0.6,0.7,0.4,0.35,0.5249999999999999,0.5125
wav2vec2,0,Spanish->Spanish,linear_svm,0.85,0.9125,0.0625,0.85,0.9125,0.0625,0.75,0.95,0.95,0.875,0.9424999999999999,0.9718749999999999
wav2vec2,0,Spanish->Spanish,logistic_regression,0.8,0.9,0.09999999999999998,0.8,0.9,0.09999999999999998,0.75,0.925,0.85,0.875,0.9075,0.971875
wav2vec2,0,German->German,linear_svm,0.825,0.85,0.025000000000000022,0.825,0.85,0.025000000000000022,0.8,0.85,0.85,0.85,0.7,0.9112499999999999
wav2vec2,0,German->German,logistic_regression,0.75,0.8374999999999999,0.08749999999999991,0.75,0.8375,0.08750000000000002,0.7,0.825,0.8,0.85,0.7625,0.901875
wav2vec2,0,Combined->Combined,linear_svm,0.7375,0.75625,0.018749999999999933,0.7375,0.75625,0.018749999999999933,0.75,0.725,0.725,0.7875,0.7515625,0.852578125
wav2vec2,0,Combined->Combined,logistic_regression,0.7124999999999999,0.76875,0.05625000000000013,0.7125,0.76875,0.05625000000000002,0.7,0.7375,0.725,0.8,0.7893749999999999,0.85375
wav2vec2,4,German->Spanish,linear_svm,0.5499999999999999,0.475,-0.07499999999999996,0.55,0.475,-0.07500000000000007,0.15,0.1,0.95,0.85,0.61,0.495
wav2vec2,4,German->Spanish,logistic_regression,0.575,0.45,-0.12499999999999994,0.575,0.45,-0.12499999999999994,0.2,0.1,0.95,0.8,0.6025,0.45500000000000007
