filename_pair,original_filename,generated_filename,original_duration,generated_duration,duration_difference,sample_rate,max_amplitude_original,max_amplitude_generated,rms_original,rms_generated,status
DE_HC_001.wav <-> DE_HC_001_generated.wav,DE_HC_001.wav,DE_HC_001_generated.wav,40.76408163265306,40.762630385487526,-0.0014512471655336867,22050,1.0,0.88726806640625,0.13903427124023438,0.11659758538007736,success
DE_HC_002.wav <-> DE_HC_002_generated.wav,DE_HC_002.wav,DE_HC_002_generated.wav,46.50231292517007,46.49795918367347,-0.004353741496593955,22050,0.999969482421875,0.958343505859375,0.14095599949359894,0.12662860751152039,success
DE_HC_003.wav <-> DE_HC_003_generated.wav,DE_HC_003.wav,DE_HC_003_generated.wav,37.35945578231293,37.34929705215419,-0.010158730158735807,22050,1.0,0.996734619140625,0.131783589720726,0.12124286592006683,success
DE_HC_004.wav <-> DE_HC_004_generated.wav,DE_HC_004.wav,DE_HC_004_generated.wav,60.12952380952381,60.12807256235828,-0.0014512471655336867,22050,1.0,0.80206298828125,0.11137758195400238,0.09398244321346283,success
DE_HC_005.wav <-> DE_HC_005_generated.wav,DE_HC_005.wav,DE_HC_005_generated.wav,33.78072562358277,33.77342403628118,-0.007301587301590473,22050,0.999969482421875,0.968597412109375,0.1433258354663849,0.13369637727737427,success
DE_HC_006.wav <-> DE_HC_006_generated.wav,DE_HC_006.wav,DE_HC_006_generated.wav,56.66394557823129,56.65668934240363,-0.007256235827661328,22050,1.0,0.9923095703125,0.2726280987262726,0.22923971712589264,success
DE_HC_007.wav <-> DE_HC_007_generated.wav,DE_HC_007.wav,DE_HC_007_generated.wav,51.12603174603175,51.11873015873016,-0.007301587301590473,22050,1.0,0.956329345703125,0.11830668896436691,0.10490994155406952,success
DE_HC_008.wav <-> DE_HC_008_generated.wav,DE_HC_008.wav,DE_HC_008_generated.wav,61.95083900226757,61.95083900226757,0.0,22050,0.999969482421875,0.864990234375,0.11327608674764633,0.10655482113361359,success
DE_HC_009.wav <-> DE_HC_009_generated.wav,DE_HC_009.wav,DE_HC_009_generated.wav,45.33551020408163,45.3253514739229,-0.010158730158728702,22050,1.0,0.9794921875,0.20179584622383118,0.18742376565933228,success
DE_HC_010.wav <-> DE_HC_010_generated.wav,DE_HC_010.wav,DE_HC_010_generated.wav,38.405850340136055,38.40580498866213,-4.535147392203953e-05,22050,1.0,0.9986572265625,0.05999651178717613,0.05120086669921875,success
DE_HC_011.wav <-> DE_HC_011_generated.wav,DE_HC_011.wav,DE_HC_011_generated.wav,44.44303854875283,44.44299319727891,-4.535147392203953e-05,22050,0.999969482421875,0.963134765625,0.14343686401844025,0.12423910945653915,success
DE_HC_012.wav <-> DE_HC_012_generated.wav,DE_HC_012.wav,DE_HC_012_generated.wav,45.200589569161,45.19764172335601,-0.002947845804989413,22050,0.999969482421875,0.99090576171875,0.16331923007965088,0.1485576331615448,success
DE_HC_013.wav <-> DE_HC_013_generated.wav,DE_HC_013.wav,DE_HC_013_generated.wav,43.83927437641724,43.83927437641724,0.0,22050,1.0,0.95172119140625,0.10143217444419861,0.09356789290904999,success
DE_HC_014.wav <-> DE_HC_014_generated.wav,DE_HC_014.wav,DE_HC_014_generated.wav,46.25414965986395,46.25414965986395,0.0,22050,0.999969482421875,0.898956298828125,0.0939362645149231,0.08429331332445145,success
DE_HC_015.wav <-> DE_HC_015_generated.wav,DE_HC_015.wav,DE_HC_015_generated.wav,44.39659863945578,44.39655328798186,-4.535147392203953e-05,22050,0.999969482421875,0.82763671875,0.08169196546077728,0.07595568895339966,success
DE_HC_016.wav <-> DE_HC_016_generated.wav,DE_HC_016.wav,DE_HC_016_generated.wav,44.48947845804989,44.489433106575966,-4.535147392203953e-05,22050,0.999969482421875,0.82080078125,0.1150113046169281,0.10430510342121124,success
DE_HC_017.wav <-> DE_HC_017_generated.wav,DE_HC_017.wav,DE_HC_017_generated.wav,42.51863945578231,42.515736961451246,-0.0029024943310673734,22050,1.0,0.9490966796875,0.11017676442861557,0.09335188567638397,success
DE_HC_018.wav <-> DE_HC_018_generated.wav,DE_HC_018.wav,DE_HC_018_generated.wav,62.64743764172336,62.64743764172336,0.0,22050,0.999969482421875,0.919342041015625,0.0910198763012886,0.08212536573410034,success
DE_HC_019.wav <-> DE_HC_019_generated.wav,DE_HC_019.wav,DE_HC_019_generated.wav,53.82390022675737,53.823854875283445,-4.535147392203953e-05,22050,1.0,0.957611083984375,0.08645643293857574,0.07894916087388992,success
DE_HC_020.wav <-> DE_HC_020_generated.wav,DE_HC_020.wav,DE_HC_020_generated.wav,44.390793650793654,44.3849433106576,-0.005850340136056786,22050,1.0,0.834869384765625,0.12284920364618301,0.11035681515932083,success
DE_PD_001.wav <-> DE_PD_001_generated.wav,DE_PD_001.wav,DE_PD_001_generated.wav,47.46013605442177,47.44997732426304,-0.010158730158728702,22050,1.0,0.854095458984375,0.10662990808486938,0.09603685140609741,success
DE_PD_002.wav <-> DE_PD_002_generated.wav,DE_PD_002.wav,DE_PD_002_generated.wav,38.54371882086168,38.53351473922903,-0.010204081632650741,22050,0.999969482421875,0.900177001953125,0.14567315578460693,0.12855760753154755,success
DE_PD_003.wav <-> DE_PD_003_generated.wav,DE_PD_003.wav,DE_PD_003_generated.wav,40.476780045351475,40.47238095238095,-0.0043990929705231,22050,1.0,0.97357177734375,0.16004864871501923,0.1457013487815857,success
DE_PD_004.wav <-> DE_PD_004_generated.wav,DE_PD_004.wav,DE_PD_004_generated.wav,34.62095238095238,34.62095238095238,0.0,22050,0.999969482421875,0.886260986328125,0.16536718606948853,0.14594872295856476,success
DE_PD_005.wav <-> DE_PD_005_generated.wav,DE_PD_005.wav,DE_PD_005_generated.wav,43.57229024943311,43.57224489795918,-4.535147392914496e-05,22050,1.0,0.9793701171875,0.15470369160175323,0.1428043097257614,success
DE_PD_006.wav <-> DE_PD_006_generated.wav,DE_PD_006.wav,DE_PD_006_generated.wav,68.24489795918367,68.24344671201814,-0.0014512471655336867,22050,1.0,0.98223876953125,0.11911926418542862,0.10430114716291428,success
DE_PD_007.wav <-> DE_PD_007_generated.wav,DE_PD_007.wav,DE_PD_007_generated.wav,49.70231292517007,49.70231292517007,0.0,22050,1.0,0.979949951171875,0.1570003777742386,0.14613154530525208,success
DE_PD_008.wav <-> DE_PD_008_generated.wav,DE_PD_008.wav,DE_PD_008_generated.wav,55.30784580498866,55.29832199546485,-0.009523809523805937,22050,0.999969482421875,0.85943603515625,0.0786646381020546,0.06965148448944092,success
DE_PD_009.wav <-> DE_PD_009_generated.wav,DE_PD_009.wav,DE_PD_009_generated.wav,37.72521541950113,37.72081632653061,-0.0043990929705231,22050,1.0,0.89581298828125,0.10083502531051636,0.0850139781832695,success
DE_PD_010.wav <-> DE_PD_010_generated.wav,DE_PD_010.wav,DE_PD_010_generated.wav,39.2,39.19528344671202,-0.004716553287984482,22050,0.999969482421875,0.998077392578125,0.3115709722042084,0.28408920764923096,success
DE_PD_011.wav <-> DE_PD_011_generated.wav,DE_PD_011.wav,DE_PD_011_generated.wav,40.80766439909297,40.79746031746032,-0.010204081632650741,22050,1.0,0.9281005859375,0.1083461344242096,0.10034073144197464,success
DE_PD_012.wav <-> DE_PD_012_generated.wav,DE_PD_012.wav,DE_PD_012_generated.wav,49.96934240362812,49.96934240362812,0.0,22050,0.999969482421875,0.872772216796875,0.0937761664390564,0.08192135393619537,success
DE_PD_013.wav <-> DE_PD_013_generated.wav,DE_PD_013.wav,DE_PD_013_generated.wav,38.89201814058957,38.88181405895691,-0.010204081632657847,22050,0.999969482421875,0.982025146484375,0.12412872910499573,0.11542326956987381,success
