model,layer,train_language,test_language,classifier,uar_orig,acc_orig,uar_gen,acc_gen,uar_diff,acc_diff
wav2vec2,0,German,Spanish,logistic_regression,0.47500000000000003,0.475,0.42500000000000004,0.425,-0.04999999999999999,-0.04999999999999999
wav2vec2,0,Spanish+German,Spanish+German,linear_svm,0.6375,0.6375,0.6499999999999999,0.65,0.012499999999999956,0.012500000000000067
wav2vec2,0,Spanish+German,Spanish+German,logistic_regression,0.6375,0.6375,0.65,0.65,0.012500000000000067,0.012500000000000067
wav2vec2,11,Spanish,Spanish,linear_svm,0.675,0.675,0.825,0.825,0.1499999999999999,0.1499999999999999
wav2vec2,11,Spanish,Spanish,logistic_regression,0.7749999999999999,0.775,0.825,0.825,0.050000000000000044,0.04999999999999993
wav2vec2,11,Spanish,German,linear_svm,0.55,0.55,0.575,0.575,0.02499999999999991,0.02499999999999991
wav2vec2,11,Spanish,German,logistic_regression,0.575,0.575,0.575,0.575,0.0,0.0
wav2vec2,11,German,German,linear_svm,0.575,0.575,0.6499999999999999,0.65,0.07499999999999996,0.07500000000000007
wav2vec2,11,German,German,logistic_regression,0.6000000000000001,0.6,0.6499999999999999,0.65,0.04999999999999982,0.050000000000000044
wav2vec2,11,German,Spanish,linear_svm,0.5,0.5,0.6,0.6,0.09999999999999998,0.09999999999999998
wav2vec2,11,German,Spanish,logistic_regression,0.65,0.65,0.625,0.625,-0.025000000000000022,-0.025000000000000022
wav2vec2,11,Spanish+German,Spanish+German,linear_svm,0.75,0.75,0.7875000000000001,0.7875,0.03750000000000009,0.03749999999999998
wav2vec2,11,Spanish+German,Spanish+German,logistic_regression,0.75,0.75,0.7875,0.7875,0.03749999999999998,0.03749999999999998
wav2vec2,4,Spanish,Spanish,linear_svm,0.825,0.825,0.8500000000000001,0.85,0.025000000000000133,0.025000000000000022
wav2vec2,4,Spanish,Spanish,logistic_regression,0.825,0.825,0.825,0.825,0.0,0.0
wav2vec2,4,Spanish,German,linear_svm,0.45,0.45,0.5,0.5,0.04999999999999999,0.04999999999999999
wav2vec2,4,Spanish,German,logistic_regression,0.5,0.5,0.45,0.45,-0.04999999999999999,-0.04999999999999999
wav2vec2,4,German,German,linear_svm,0.675,0.675,0.675,0.675,0.0,0.0
wav2vec2,4,German,German,logistic_regression,0.65,0.65,0.675,0.675,0.025000000000000022,0.025000000000000022
wav2vec2,4,German,Spanish,linear_svm,0.575,0.575,0.55,0.55,-0.02499999999999991,-0.02499999999999991
wav2vec2,4,German,Spanish,logistic_regression,0.525,0.525,0.55,0.55,0.025000000000000022,0.025000000000000022
wav2vec2,4,Spanish+German,Spanish+German,linear_svm,0.7,0.7,0.7250000000000001,0.725,0.025000000000000133,0.025000000000000022
wav2vec2,4,Spanish+German,Spanish+German,logistic_regression,0.7,0.7,0.7125,0.7125,0.012500000000000067,0.012500000000000067
wav2vec2,8,Spanish,Spanish,linear_svm,0.825,0.825,0.875,0.875,0.050000000000000044,0.050000000000000044
wav2vec2,8,Spanish,Spanish,logistic_regression,0.775,0.775,0.875,0.875,0.09999999999999998,0.09999999999999998
wav2vec2,8,Spanish,German,linear_svm,0.625,0.625,0.55,0.55,-0.07499999999999996,-0.07499999999999996
wav2vec2,8,Spanish,German,logistic_regression,0.6,0.6,0.575,0.575,-0.025000000000000022,-0.025000000000000022
wav2vec2,8,German,German,linear_svm,0.6000000000000001,0.6,0.575,0.575,-0.025000000000000133,-0.025000000000000022
wav2vec2,8,German,German,logistic_regression,0.65,0.65,0.6000000000000001,0.6,-0.04999999999999993,-0.050000000000000044
wav2vec2,8,German,Spanish,linear_svm,0.6499999999999999,0.65,0.6499999999999999,0.65,0.0,0.0
wav2vec2,8,German,Spanish,logistic_regression,0.725,0.725,0.6499999999999999,0.65,-0.07500000000000007,-0.07499999999999996
wav2vec2,8,Spanish+German,Spanish+German,linear_svm,0.7625,0.7625,0.725,0.725,-0.03749999999999998,-0.03749999999999998
wav2vec2,8,Spanish+German,Spanish+German,logistic_regression,0.725,0.725,0.7375,0.7375,0.012500000000000067,0.012500000000000067
wavlm,0,Spanish,Spanish,linear_svm,0.85,0.85,0.875,0.875,0.025000000000000022,0.025000000000000022
wavlm,0,Spanish,Spanish,logistic_regression,0.85,0.85,0.85,0.85,0.0,0.0
wavlm,0,Spanish,German,linear_svm,0.5,0.5,0.5,0.5,0.0,0.0
wavlm,0,Spanish,German,logistic_regression,0.5,0.5,0.525,0.525,0.025000000000000022,0.025000000000000022
wavlm,0,German,German,linear_svm,0.675,0.675,0.675,0.675,0.0,0.0
wavlm,0,German,German,logistic_regression,0.6,0.6,0.65,0.65,0.050000000000000044,0.050000000000000044
wavlm,0,German,Spanish,linear_svm,0.5499999999999999,0.55,0.5,0.5,-0.04999999999999993,-0.050000000000000044
wavlm,0,German,Spanish,logistic_regression,0.575,0.575,0.45,0.45,-0.12499999999999994,-0.12499999999999994
wavlm,0,Spanish+German,Spanish+German,linear_svm,0.6125,0.6125,0.625,0.625,0.012499999999999956,0.012499999999999956
wavlm,0,Spanish+German,Spanish+German,logistic_regression,0.6875,0.6875,0.6499999999999999,0.65,-0.03750000000000009,-0.03749999999999998
wavlm,11,Spanish,Spanish,linear_svm,0.875,0.875,0.875,0.875,0.0,0.0
wavlm,11,Spanish,Spanish,logistic_regression,0.8500000000000001,0.85,0.85,0.85,-1.1102230246251565e-16,0.0
wavlm,11,Spanish,German,linear_svm,0.525,0.525,0.575,0.575,0.04999999999999993,0.04999999999999993
wavlm,11,Spanish,German,logistic_regression,0.5,0.5,0.55,0.55,0.050000000000000044,0.050000000000000044
wavlm,11,German,German,linear_svm,0.675,0.675,0.675,0.675,0.0,0.0
wavlm,11,German,German,logistic_regression,0.625,0.625,0.7,0.7,0.07499999999999996,0.07499999999999996
wavlm,11,German,Spanish,linear_svm,0.55,0.55,0.5499999999999999,0.55,-1.1102230246251565e-16,0.0
wavlm,11,German,Spanish,logistic_regression,0.575,0.575,0.5499999999999999,0.55,-0.025000000000000022,-0.02499999999999991
wavlm,11,Spanish+German,Spanish+German,linear_svm,0.7125,0.7125,0.75,0.75,0.03749999999999998,0.03749999999999998
wavlm,11,Spanish+German,Spanish+German,logistic_regression,0.7375,0.7375,0.75,0.75,0.012499999999999956,0.012499999999999956
wavlm,4,Spanish,Spanish,linear_svm,0.875,0.875,0.875,0.875,0.0,0.0
