model,layer,train_language,test_language,classifier,official_baseline_uar,stage4_preprocessed_original_uar,difference,absolute_difference,exact_match
wav2vec2,0,Spanish,Spanish,linear_svm,0.76,0.78,0.020000000000000018,0.020000000000000018,False
wav2vec2,0,Spanish,Spanish,logistic_regression,0.75,0.75,0.0,0.0,True
wav2vec2,0,Spanish,German,linear_svm,0.6477272727272727,0.6420454545454546,-0.005681818181818121,0.005681818181818121,False
wav2vec2,0,Spanish,German,logistic_regression,0.6022727272727273,0.6136363636363636,0.011363636363636354,0.011363636363636354,False
wav2vec2,0,German,German,linear_svm,0.7329545454545454,0.7159090909090909,-0.017045454545454475,0.017045454545454475,False
wav2vec2,0,German,German,logistic_regression,0.7215909090909092,0.7386363636363636,0.017045454545454475,0.017045454545454475,False
wav2vec2,0,German,Spanish,linear_svm,0.56,0.62,0.05999999999999994,0.05999999999999994,False
wav2vec2,0,German,Spanish,logistic_regression,0.56,0.55,-0.010000000000000009,0.010000000000000009,False
wav2vec2,0,Spanish+German,Spanish+German,linear_svm,0.7644927536231885,0.7717391304347827,0.007246376811594235,0.007246376811594235,False
wav2vec2,0,Spanish+German,Spanish+German,logistic_regression,0.7427536231884058,0.7608695652173914,0.018115942028985588,0.018115942028985588,False
wav2vec2,11,Spanish,Spanish,linear_svm,0.73,0.72,-0.010000000000000009,0.010000000000000009,False
wav2vec2,11,Spanish,Spanish,logistic_regression,0.75,0.74,-0.010000000000000009,0.010000000000000009,False
wav2vec2,11,Spanish,German,linear_svm,0.6022727272727273,0.6136363636363636,0.011363636363636354,0.011363636363636354,False
wav2vec2,11,Spanish,German,logistic_regression,0.5625,0.5681818181818182,0.005681818181818232,0.005681818181818232,False
wav2vec2,11,German,German,linear_svm,0.75,0.75,0.0,0.0,True
wav2vec2,11,German,German,logistic_regression,0.75,0.7443181818181819,-0.005681818181818121,0.005681818181818121,False
wav2vec2,11,German,Spanish,linear_svm,0.51,0.52,0.010000000000000009,0.010000000000000009,False
wav2vec2,11,German,Spanish,logistic_regression,0.62,0.62,0.0,0.0,True
wav2vec2,11,Spanish+German,Spanish+German,linear_svm,0.7572463768115942,0.7355072463768115,-0.021739130434782705,0.021739130434782705,False
wav2vec2,11,Spanish+German,Spanish+German,logistic_regression,0.75,0.7644927536231885,0.01449275362318847,0.01449275362318847,False
wav2vec2,4,Spanish,Spanish,linear_svm,0.81,0.81,0.0,0.0,True
wav2vec2,4,Spanish,Spanish,logistic_regression,0.79,0.8,0.010000000000000009,0.010000000000000009,False
