source_file,source_language,target_domain,condition_model,condition_layer,alpha,output_file,generation_status,method_used,notes
DE_HC_001.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_001_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3622).
DE_HC_002.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_002_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3743).
DE_HC_003.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_003_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.8370).
DE_HC_004.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_004_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5243).
DE_HC_005.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_005_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4309).
DE_HC_006.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_006_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.2933).
DE_HC_007.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_007_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5451).
DE_HC_008.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_008_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6707).
DE_HC_009.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_009_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4296).
DE_HC_010.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_010_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9826).
DE_HC_011.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_011_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3468).
DE_HC_012.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_012_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4324).
DE_HC_013.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_013_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6145).
DE_HC_014.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_014_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5485).
DE_HC_015.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_015_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5139).
DE_HC_016.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_016_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5464).
DE_HC_017.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_017_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4797).
DE_HC_018.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_018_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.7611).
DE_HC_019.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_019_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.7950).
DE_HC_020.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_020_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3890).
DE_HC_021.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_021_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4197).
DE_HC_022.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_022_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4122).
DE_HC_023.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_023_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4661).
DE_HC_024.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_024_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4992).
DE_HC_025.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_025_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3162).
DE_HC_026.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_026_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4703).
DE_HC_027.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_027_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.9946).
DE_HC_028.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_028_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3912).
DE_HC_029.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_029_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5907).
DE_HC_030.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_030_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4504).
DE_HC_031.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_031_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.5126).
DE_HC_032.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_032_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3201).
DE_HC_033.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_033_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3722).
DE_HC_034.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_034_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4468).
DE_HC_035.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_035_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.8346).
DE_HC_036.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_036_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4665).
DE_HC_037.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_037_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4462).
DE_HC_038.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_038_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6368).
DE_HC_039.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_039_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4385).
DE_HC_040.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_040_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4888).
DE_HC_041.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_041_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4417).
DE_HC_042.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_042_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6438).
DE_HC_043.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_043_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4858).
DE_HC_044.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_044_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3811).
DE_HC_045.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_045_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3247).
DE_HC_046.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_046_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.6140).
DE_HC_047.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_047_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.3020).
DE_HC_048.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_048_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.2933).
DE_HC_049.wav,German,Spanish-domain,xlsr,11,1.0,converted_audio_stage5c\german_to_spanish\DE_HC_049_to_Sp_domain_xlsr_layer11_alpha_1_00.wav,success,prototype embedding-conditioned conversion,Clipped samples: 0 (max peak=0.4888).
