condition_model,condition_layer,domain,num_files,embedding_dimension,mean_embedding_value,std_embedding_value
xlsr,11,german-domain,176,1024,1.0476179189076924,2.1399834189086278
xlsr,11,spanish-domain,100,1024,1.0229794661592555,2.3356283923839087
