model,layer,train_language,test_language,classifier,uar,accuracy,sensitivity,specificity,auc,n_train,n_test
xlsr,11,Spanish,Spanish,linear_svm,0.78,0.78,0.72,0.84,0.876,100,100
xlsr,11,Spanish,Spanish,logistic_regression,0.81,0.81,0.72,0.9,0.872,100,100
xlsr,11,Spanish,German,linear_svm,0.5909090909090909,0.5909090909090909,0.29545454545454547,0.8863636363636364,0.6856275826446281,100,176
xlsr,11,Spanish,German,logistic_regression,0.5738636363636364,0.5738636363636364,0.23863636363636365,0.9090909090909091,0.7129390495867769,100,176
xlsr,11,German,German,linear_svm,0.75,0.75,0.7386363636363636,0.7613636363636364,0.8209581611570248,176,176
xlsr,11,German,German,logistic_regression,0.7670454545454546,0.7670454545454546,0.7386363636363636,0.7954545454545454,0.8318698347107438,176,176
xlsr,11,German,Spanish,linear_svm,0.6000000000000001,0.6,0.68,0.52,0.6328,176,100
xlsr,11,German,Spanish,logistic_regression,0.66,0.66,0.88,0.44,0.7756000000000001,176,100
xlsr,11,Spanish+German,Spanish+German,linear_svm,0.7536231884057971,0.7536231884057971,0.7681159420289855,0.7391304347826086,0.8329920184835119,276,276
xlsr,11,Spanish+German,Spanish+German,logistic_regression,0.7789855072463768,0.7789855072463768,0.7608695652173914,0.7971014492753623,0.8545473639991599,276,276
